X,Y,uid,date,temperature,valflag,idtrack,release_name,drifter_name
-8.8000566667,42.6214766667,"176",2018/11/15 09:54:36,14.1,"0","1",primer lanzamento,boya 1
-8.7961783333,42.62322,"174",2018/11/15 09:43:51,14.01,"0","1",primer lanzamento,boya 1
-8.7923783333,42.6248683333,"171",2018/11/15 09:32:55,14.01,"0","1",primer lanzamento,boya 1
-8.7881683333,42.6267783333,"168",2018/11/15 09:21:24,14.36,"0","1",primer lanzamento,boya 1
-8.7844383333,42.6285166667,"165",2018/11/15 09:10:37,15.13,"0","1",primer lanzamento,boya 1
-8.79115,42.6269133333,"175",2018/11/15 09:54:17,14.36,"0","2",primer lanzamento,MD 7 small drogue
-8.7882583333,42.6279366667,"172",2018/11/15 09:43:02,14.44,"0","2",primer lanzamento,MD 7 small drogue
-8.786675,42.628235,"169",2018/11/15 09:32:30,14.61,"0","2",primer lanzamento,MD 7 small drogue
-8.78483,42.6287683333,"166",2018/11/15 09:21:07,14.96,"0","2",primer lanzamento,MD 7 small drogue
-8.7826716667,42.6288583333,"163",2018/11/15 09:09:50,15.99,"0","2",primer lanzamento,MD 7 small drogue
-8.787345,42.6271766667,"177",2018/11/15 09:54:56,14.36,"0","3",primer lanzamento,MD 8 small drogue 1m
-8.7857533333,42.6279816667,"173",2018/11/15 09:43:25,14.36,"0","3",primer lanzamento,MD 8 small drogue 1m
-8.7847883333,42.6284866667,"170",2018/11/15 09:32:40,14.44,"0","3",primer lanzamento,MD 8 small drogue 1m
-8.7838266667,42.62898,"167",2018/11/15 09:21:20,14.87,"0","3",primer lanzamento,MD 8 small drogue 1m
-8.7829283333,42.6293416667,"164",2018/11/15 09:10:34,15.9,"0","3",primer lanzamento,MD 8 small drogue 1m
-8.80022499999998,42.622,"238",2018/11/15 09:53:00,13,"0","4",primer lanzamento,odi 109
-8.797225,42.6226,"237",2018/11/15 09:45:00,13,"0","4",primer lanzamento,odi 109
-8.79542499999999,42.6236,"236",2018/11/15 09:40:00,13,"0","4",primer lanzamento,odi 109
-8.79362499999999,42.6242,"235",2018/11/15 09:34:00,13,"0","4",primer lanzamento,odi 109
-8.79082499999998,42.6254,"234",2018/11/15 09:27:00,13,"0","4",primer lanzamento,odi 109
-8.788825,42.6262,"233",2018/11/15 09:22:00,14,"0","4",primer lanzamento,odi 109
-8.787025,42.6272,"232",2018/11/15 09:17:00,14,"0","4",primer lanzamento,odi 109
-8.785225,42.628,"231",2018/11/15 09:12:00,15,"0","4",primer lanzamento,odi 109
-8.78302499999998,42.6288,"230",2018/11/15 09:07:00,16,"0","4",primer lanzamento,odi 109
-8.782025,42.6294,"229",2018/11/15 09:00:00,17,"0","4",primer lanzamento,odi 109
-8.80002500000001,42.6208,"206",2018/11/15 09:53:00,13,"0","5",primer lanzamento,odi 110
-8.79022499999999,42.6256,"205",2018/11/15 09:26:00,13,"0","5",primer lanzamento,odi 110
-8.800825,42.6204,"217",2018/11/15 09:55:00,13,"0","6",primer lanzamento,odi 111
-8.79922499999998,42.6212,"216",2018/11/15 09:50:00,13,"0","6",primer lanzamento,odi 111
-8.797425,42.6222,"215",2018/11/15 09:44:00,13,"0","6",primer lanzamento,odi 111
-8.794825,42.6234,"214",2018/11/15 09:38:00,13,"0","6",primer lanzamento,odi 111
-8.79282499999999,42.6244,"213",2018/11/15 09:33:00,13,"0","6",primer lanzamento,odi 111
-8.79082499999998,42.6252,"212",2018/11/15 09:28:00,13,"0","6",primer lanzamento,odi 111
-8.788625,42.6258,"211",2018/11/15 09:23:00,13,"0","6",primer lanzamento,odi 111
-8.787025,42.627,"210",2018/11/15 09:17:00,14,"0","6",primer lanzamento,odi 111
-8.78562499999998,42.6284,"209",2018/11/15 09:12:00,14,"0","6",primer lanzamento,odi 111
-8.783625,42.6288,"208",2018/11/15 09:07:00,16,"0","6",primer lanzamento,odi 111
-8.78222499999998,42.6294,"207",2018/11/15 09:01:00,17,"0","6",primer lanzamento,odi 111
-8.799333,42.621833,"199",2018/11/15 09:49:00,16,"0","7",primer lanzamento,MLI00100
-8.793667,42.624333,"198",2018/11/15 09:34:00,16,"0","7",primer lanzamento,MLI00100
-8.787833,42.627,"197",2018/11/15 09:19:00,16,"0","7",primer lanzamento,MLI00100
-8.782333,42.629333,"196",2018/11/15 09:04:00,18,"0","7",primer lanzamento,MLI00100
-8.801648,42.620889,"454",2018/11/15 10:01:32,,"0","19",primer lanzamento,palillo 1
-8.796123,42.623171,"446",2018/11/15 09:45:36,,"0","19",primer lanzamento,palillo 1
-8.791454,42.625279,"437",2018/11/15 09:31:28,,"0","19",primer lanzamento,palillo 1
-8.785946,42.627728,"426",2018/11/15 09:15:43,,"0","19",primer lanzamento,palillo 1
-8.782126,42.629585,"417",2018/11/15 09:02:46,,"0","19",primer lanzamento,palillo 1
-8.801863,42.620538,"459",2018/11/15 10:02:48,,"0","20",primer lanzamento,palillo 2
-8.796185,42.623139,"452",2018/11/15 09:46:00,,"0","20",primer lanzamento,palillo 2
-8.791454,42.625279,"438",2018/11/15 09:31:28,,"0","20",primer lanzamento,palillo 2
-8.785946,42.627728,"427",2018/11/15 09:15:43,,"0","20",primer lanzamento,palillo 2
-8.782126,42.629585,"418",2018/11/15 09:02:46,,"0","20",primer lanzamento,palillo 2
-8.801648,42.620889,"455",2018/11/15 10:01:32,,"0","21",primer lanzamento,palillo 3
-8.796123,42.623171,"447",2018/11/15 09:45:36,,"0","21",primer lanzamento,palillo 3
-8.791454,42.625279,"439",2018/11/15 09:31:28,,"0","21",primer lanzamento,palillo 3
-8.785946,42.627728,"428",2018/11/15 09:15:43,,"0","21",primer lanzamento,palillo 3
-8.782126,42.629585,"419",2018/11/15 09:02:46,,"0","21",primer lanzamento,palillo 3
-8.801648,42.620889,"456",2018/11/15 10:01:32,,"0","22",primer lanzamento,palillo 4
-8.796123,42.623171,"448",2018/11/15 09:45:36,,"0","22",primer lanzamento,palillo 4
-8.791454,42.625279,"440",2018/11/15 09:31:28,,"0","22",primer lanzamento,palillo 4
-8.785946,42.627728,"429",2018/11/15 09:15:43,,"0","22",primer lanzamento,palillo 4
-8.782126,42.629585,"420",2018/11/15 09:02:46,,"0","22",primer lanzamento,palillo 4
-8.801648,42.620889,"457",2018/11/15 10:01:32,,"0","23",primer lanzamento,palillo 5
-8.796123,42.623171,"449",2018/11/15 09:45:36,,"0","23",primer lanzamento,palillo 5
-8.791454,42.625279,"441",2018/11/15 09:31:28,,"0","23",primer lanzamento,palillo 5
-8.785946,42.627728,"430",2018/11/15 09:15:43,,"0","23",primer lanzamento,palillo 5
-8.782126,42.629585,"421",2018/11/15 09:02:46,,"0","23",primer lanzamento,palillo 5
-8.801052,42.621124,"453",2018/11/15 09:59:36,,"0","24",primer lanzamento,palillo 6
-8.796123,42.623171,"450",2018/11/15 09:45:36,,"0","24",primer lanzamento,palillo 6
-8.791454,42.625279,"442",2018/11/15 09:31:28,,"0","24",primer lanzamento,palillo 6
-8.785946,42.627728,"431",2018/11/15 09:15:43,,"0","24",primer lanzamento,palillo 6
-8.782126,42.629585,"422",2018/11/15 09:02:46,,"0","24",primer lanzamento,palillo 6
-8.803348,42.620032,"460",2018/11/15 10:05:24,,"0","25",primer lanzamento,palillo 7
-8.796114,42.623203,"444",2018/11/15 09:44:43,,"0","25",primer lanzamento,palillo 7
-8.791357,42.625288,"435",2018/11/15 09:30:51,,"0","25",primer lanzamento,palillo 7
-8.785946,42.627728,"432",2018/11/15 09:15:43,,"0","25",primer lanzamento,palillo 7
-8.782126,42.629585,"423",2018/11/15 09:02:46,,"0","25",primer lanzamento,palillo 7
-8.801648,42.620889,"458",2018/11/15 10:01:32,,"0","26",primer lanzamento,palillo 8
-8.796123,42.623171,"451",2018/11/15 09:45:36,,"0","26",primer lanzamento,palillo 8
-8.791454,42.625279,"443",2018/11/15 09:31:28,,"0","26",primer lanzamento,palillo 8
-8.785946,42.627728,"433",2018/11/15 09:15:43,,"0","26",primer lanzamento,palillo 8
-8.782126,42.629585,"424",2018/11/15 09:02:46,,"0","26",primer lanzamento,palillo 8
-8.803542,42.619963,"461",2018/11/15 10:05:48,,"0","27",primer lanzamento,palillo 9
-8.796114,42.623203,"445",2018/11/15 09:44:43,,"0","27",primer lanzamento,palillo 9
-8.791357,42.625288,"436",2018/11/15 09:30:51,,"0","27",primer lanzamento,palillo 9
-8.785946,42.627728,"434",2018/11/15 09:15:43,,"0","27",primer lanzamento,palillo 9
-8.782126,42.629585,"425",2018/11/15 09:02:46,,"0","27",primer lanzamento,palillo 9
-8.80315,42.620585,"195",2018/11/15 11:56:30,14.1,"0","8",segundo lanzamento,boya 1
-8.79825,42.6225816667,"192",2018/11/15 11:45:30,14.1,"0","8",segundo lanzamento,boya 1
-8.7928666667,42.6249183333,"188",2018/11/15 11:33:59,14.1,"0","8",segundo lanzamento,boya 1
-8.7876666667,42.6272083333,"186",2018/11/15 11:23:14,14.1,"0","8",segundo lanzamento,boya 1
-8.78314,42.629365,"183",2018/11/15 11:12:20,14.27,"0","8",segundo lanzamento,boya 1
-8.77864,42.6316383333,"178",2018/11/15 11:00:47,14.87,"0","8",segundo lanzamento,boya 1
-8.791455,42.6266183333,"193",2018/11/15 11:55:59,14.53,"0","9",segundo lanzamento,MD 7 small drogue
-8.7881483333,42.6273333333,"191",2018/11/15 11:45:22,14.53,"0","9",segundo lanzamento,MD 7 small drogue
-8.7850616667,42.6284833333,"189",2018/11/15 11:34:29,14.53,"0","9",segundo lanzamento,MD 7 small drogue
-8.7822216667,42.6294983333,"185",2018/11/15 11:22:56,14.53,"0","9",segundo lanzamento,MD 7 small drogue
-8.7802783333,42.6305466667,"182",2018/11/15 11:12:11,14.61,"0","9",segundo lanzamento,MD 7 small drogue
-8.7783916667,42.6317016667,"179",2018/11/15 11:01:17,14.87,"0","9",segundo lanzamento,MD 7 small drogue
-8.786415,42.6275733333,"194",2018/11/15 11:56:24,14.44,"0","10",segundo lanzamento,MD 8 small drogue 1m
-8.7844,42.6283983333,"190",2018/11/15 11:44:40,14.44,"0","10",segundo lanzamento,MD 8 small drogue 1m
-8.78221,42.629435,"187",2018/11/15 11:33:23,14.36,"0","10",segundo lanzamento,MD 8 small drogue 1m
-8.7806966667,42.6304033333,"184",2018/11/15 11:22:52,14.36,"0","10",segundo lanzamento,MD 8 small drogue 1m
-8.7794016667,42.631235,"181",2018/11/15 11:11:33,14.44,"0","10",segundo lanzamento,MD 8 small drogue 1m
-8.7783316667,42.631835,"180",2018/11/15 11:01:27,14.87,"0","10",segundo lanzamento,MD 8 small drogue 1m
-8.80002500000001,42.6218,"243",2018/11/15 11:47:00,14,"0","11",segundo lanzamento,odi 109
-8.79762499999998,42.6228,"242",2018/11/15 11:42:00,14,"0","11",segundo lanzamento,odi 109
-8.78222499999998,42.6298,"241",2018/11/15 11:10:00,13,"0","11",segundo lanzamento,odi 109
-8.78222499999998,42.6298,"240",2018/11/15 11:09:00,14,"0","11",segundo lanzamento,odi 109
-8.77962499999998,42.6312,"239",2018/11/15 11:02:00,14,"0","11",segundo lanzamento,odi 109
-8.804025,42.6194,"228",2018/11/15 11:56:00,13,"0","12",segundo lanzamento,odi 111
-8.80182499999998,42.6204,"227",2018/11/15 11:51:00,13,"0","12",segundo lanzamento,odi 111
-8.799025,42.6216,"226",2018/11/15 11:46:00,13,"0","12",segundo lanzamento,odi 111
-8.796425,42.6224,"225",2018/11/15 11:40:00,13,"0","12",segundo lanzamento,odi 111
-8.79422499999998,42.6242,"224",2018/11/15 11:35:00,13,"0","12",segundo lanzamento,odi 111
-8.791425,42.6252,"223",2018/11/15 11:30:00,13,"0","12",segundo lanzamento,odi 111
-8.78902499999998,42.6264,"222",2018/11/15 11:25:00,13,"0","12",segundo lanzamento,odi 111
-8.78682499999999,42.6274,"221",2018/11/15 11:20:00,13,"0","12",segundo lanzamento,odi 111
-8.78462500000001,42.6284,"220",2018/11/15 11:15:00,13,"0","12",segundo lanzamento,odi 111
-8.78222499999998,42.6296,"219",2018/11/15 11:09:00,13,"0","12",segundo lanzamento,odi 111
-8.78002499999999,42.6312,"218",2018/11/15 11:04:00,14,"0","12",segundo lanzamento,odi 111
-8.801667,42.620833,"204",2018/11/15 11:55:00,15,"0","13",segundo lanzamento,MLI00100
-8.801667,42.620833,"203",2018/11/15 11:51:00,15,"0","13",segundo lanzamento,MLI00100
-8.7945,42.624167,"202",2018/11/15 11:35:00,15,"0","13",segundo lanzamento,MLI00100
-8.787,42.6275,"201",2018/11/15 11:20:00,15,"0","13",segundo lanzamento,MLI00100
-8.7805,42.630667,"200",2018/11/15 11:05:00,16,"0","13",segundo lanzamento,MLI00100
-8.798892,42.622301,"491",2018/11/15 11:47:32,,"0","28",segundo lanzamento,palillo 1
-8.792475,42.625048,"484",2018/11/15 11:33:26,,"0","28",segundo lanzamento,palillo 1
-8.78466,42.628654,"476",2018/11/15 11:16:14,,"0","28",segundo lanzamento,palillo 1
-8.778006,42.632023,"462",2018/11/15 10:58:00,,"0","28",segundo lanzamento,palillo 1
-8.7986,42.622383,"490",2018/11/15 11:47:10,,"0","29",segundo lanzamento,palillo 2
-8.792245,42.625136,"483",2018/11/15 11:33:13,,"0","29",segundo lanzamento,palillo 2
-8.784521,42.628697,"475",2018/11/15 11:16:02,,"0","29",segundo lanzamento,palillo 2
-8.778006,42.632023,"463",2018/11/15 10:58:00,,"0","29",segundo lanzamento,palillo 2
-8.799313,42.622078,"495",2018/11/15 11:49:41,,"0","30",segundo lanzamento,palillo 3
-8.791177,42.625558,"480",2018/11/15 11:32:00,,"0","30",segundo lanzamento,palillo 3
-8.783993,42.628892,"471",2018/11/15 11:15:19,,"0","30",segundo lanzamento,palillo 3
-8.778006,42.632023,"464",2018/11/15 10:58:00,,"0","30",segundo lanzamento,palillo 3
-8.799123,42.622222,"493",2018/11/15 11:47:48,,"0","31",segundo lanzamento,palillo 4
-8.792475,42.625048,"485",2018/11/15 11:33:26,,"0","31",segundo lanzamento,palillo 4
-8.78466,42.628654,"477",2018/11/15 11:16:14,,"0","31",segundo lanzamento,palillo 4
-8.778006,42.632023,"465",2018/11/15 10:58:00,,"0","31",segundo lanzamento,palillo 4
-8.799313,42.622078,"496",2018/11/15 11:49:41,,"0","32",segundo lanzamento,palillo 5
-8.791453,42.625436,"481",2018/11/15 11:32:27,,"0","32",segundo lanzamento,palillo 5
-8.783993,42.628892,"472",2018/11/15 11:15:19,,"0","32",segundo lanzamento,palillo 5
-8.778006,42.632023,"466",2018/11/15 10:58:00,,"0","32",segundo lanzamento,palillo 5
-8.798892,42.622301,"492",2018/11/15 11:47:32,,"0","33",segundo lanzamento,palillo 6
-8.792475,42.625048,"486",2018/11/15 11:33:26,,"0","33",segundo lanzamento,palillo 6
-8.78466,42.628654,"478",2018/11/15 11:16:14,,"0","33",segundo lanzamento,palillo 6
-8.778006,42.632023,"467",2018/11/15 10:58:00,,"0","33",segundo lanzamento,palillo 6
-8.798272,42.622521,"489",2018/11/15 11:46:28,,"0","34",segundo lanzamento,palillo 7
-8.793253,42.624653,"488",2018/11/15 11:35:26,,"0","34",segundo lanzamento,palillo 7
-8.784266,42.628784,"474",2018/11/15 11:15:43,,"0","34",segundo lanzamento,palillo 7
-8.778006,42.632023,"468",2018/11/15 10:58:00,,"0","34",segundo lanzamento,palillo 7
-8.799313,42.622078,"497",2018/11/15 11:49:41,,"0","35",segundo lanzamento,palillo 8
-8.791453,42.625436,"482",2018/11/15 11:32:27,,"0","35",segundo lanzamento,palillo 8
-8.783993,42.628892,"473",2018/11/15 11:15:19,,"0","35",segundo lanzamento,palillo 8
-8.778006,42.632023,"469",2018/11/15 10:58:00,,"0","35",segundo lanzamento,palillo 8
-8.799123,42.622222,"494",2018/11/15 11:47:48,,"0","36",segundo lanzamento,palillo 9
-8.792475,42.625048,"487",2018/11/15 11:33:26,,"0","36",segundo lanzamento,palillo 9
-8.78466,42.628654,"479",2018/11/15 11:16:14,,"0","36",segundo lanzamento,palillo 9
-8.778006,42.632023,"470",2018/11/15 10:58:00,,"0","36",segundo lanzamento,palillo 9

