X,Y,uid,date,idtrack,release_name,drifter_name
-8.9559916667,42.53561,"651",2019/07/18 08:09:01,"56",primer lanzamento,boya 1
-8.95432,42.537705,"649",2019/07/18 07:57:28,"56",primer lanzamento,boya 1
-8.9528616667,42.5395516667,"647",2019/07/18 07:46:44,"56",primer lanzamento,boya 1
-8.9513816667,42.541555,"645",2019/07/18 07:35:53,"56",primer lanzamento,boya 1
-8.949705,42.5437566667,"643",2019/07/18 07:24:22,"56",primer lanzamento,boya 1
-8.9479683333,42.546305,"641",2019/07/18 07:13:05,"56",primer lanzamento,boya 1
-8.9467733333,42.5481166667,"639",2019/07/18 07:05:16,"56",primer lanzamento,boya 1
-8.94666,42.5480183333,"640",2019/07/18 07:06:14,"57",primer lanzamento,MD 7 small drogue
-8.9527583333,42.5377766667,"654",2019/07/18 08:19:40,"58",primer lanzamento,MD 8 small drogue 1m
-8.9522516667,42.5389233333,"652",2019/07/18 08:09:43,"58",primer lanzamento,MD 8 small drogue 1m
-8.9517766667,42.54025,"650",2019/07/18 07:58:42,"58",primer lanzamento,MD 8 small drogue 1m
-8.951045,42.5416216667,"648",2019/07/18 07:47:05,"58",primer lanzamento,MD 8 small drogue 1m
-8.950115,42.543035,"646",2019/07/18 07:36:22,"58",primer lanzamento,MD 8 small drogue 1m
-8.9488516667,42.54456,"644",2019/07/18 07:25:30,"58",primer lanzamento,MD 8 small drogue 1m
-8.9475933333,42.5466616667,"642",2019/07/18 07:13:57,"58",primer lanzamento,MD 8 small drogue 1m
-8.9465533333,42.54823,"638",2019/07/18 07:04:51,"58",primer lanzamento,MD 8 small drogue 1m
-8.956425,42.5356,"714",2019/07/18 08:07:00,"59",primer lanzamento,odi 109
-8.955625,42.5368,"713",2019/07/18 08:01:00,"59",primer lanzamento,odi 109
-8.95442499999999,42.5376,"712",2019/07/18 07:55:00,"59",primer lanzamento,odi 109
-8.953225,42.539,"711",2019/07/18 07:48:00,"59",primer lanzamento,odi 109
-8.95262499999998,42.5398,"710",2019/07/18 07:42:00,"59",primer lanzamento,odi 109
-8.95162499999998,42.5408,"709",2019/07/18 07:37:00,"59",primer lanzamento,odi 109
-8.950625,42.5424,"708",2019/07/18 07:28:00,"59",primer lanzamento,odi 109
-8.94902500000001,42.5442,"707",2019/07/18 07:20:00,"59",primer lanzamento,odi 109
-8.947025,42.5472,"706",2019/07/18 07:08:00,"59",primer lanzamento,odi 109
-8.958225,42.5342,"697",2019/07/18 08:13:00,"60",primer lanzamento,odi 111
-8.95702499999999,42.5356,"696",2019/07/18 08:07:00,"60",primer lanzamento,odi 111
-8.955825,42.5366,"695",2019/07/18 08:00:00,"60",primer lanzamento,odi 111
-8.95462499999999,42.5376,"694",2019/07/18 07:54:00,"60",primer lanzamento,odi 111
-8.95382499999999,42.5388,"693",2019/07/18 07:49:00,"60",primer lanzamento,odi 111
-8.95282499999999,42.539,"692",2019/07/18 07:44:00,"60",primer lanzamento,odi 111
-8.952225,42.5402,"691",2019/07/18 07:38:00,"60",primer lanzamento,odi 111
-8.951425,42.5416,"690",2019/07/18 07:33:00,"60",primer lanzamento,odi 111
-8.950425,42.5424,"689",2019/07/18 07:28:00,"60",primer lanzamento,odi 111
-8.949825,42.5436,"688",2019/07/18 07:23:00,"60",primer lanzamento,odi 111
-8.947225,42.5474,"687",2019/07/18 07:08:00,"60",primer lanzamento,odi 111
-8.9565,42.536333,"675",2019/07/18 08:03:00,"61",primer lanzamento,MLI00102
-8.953833,42.539,"673",2019/07/18 07:48:00,"61",primer lanzamento,MLI00102
-8.951333,42.541833,"672",2019/07/18 07:33:00,"61",primer lanzamento,MLI00102
-8.948833,42.545,"670",2019/07/18 07:18:00,"61",primer lanzamento,MLI00102
-8.946167,42.5485,"668",2019/07/18 07:03:00,"61",primer lanzamento,MLI00102
-8.953667,42.539,"681",2019/07/18 07:48:00,"62",primer lanzamento,MLI00104 sb
-8.946167,42.5485,"680",2019/07/18 07:02:00,"62",primer lanzamento,MLI00104 sb
-8.9565,42.536333,"674",2019/07/18 08:03:00,"62",primer lanzamento,MLI00104 sb
-8.951333,42.541833,"671",2019/07/18 07:33:00,"62",primer lanzamento,MLI00104 sb
-8.948833,42.545,"669",2019/07/18 07:18:00,"62",primer lanzamento,MLI00104 sb
-8.954216,42.536555,"779",2019/07/18 08:04:29,"69",primer lanzamento,palillo 1
-8.952833,42.538481,"773",2019/07/18 07:52:25,"69",primer lanzamento,palillo 1
-8.951845,42.540454,"760",2019/07/18 07:41:19,"69",primer lanzamento,palillo 1
-8.950431,42.542482,"749",2019/07/18 07:30:25,"69",primer lanzamento,palillo 1
-8.948856,42.544652,"740",2019/07/18 07:20:07,"69",primer lanzamento,palillo 1
-8.947656,42.546843,"731",2019/07/18 07:11:02,"69",primer lanzamento,palillo 1
-8.945808,42.548984,"722",2019/07/18 07:01:06,"69",primer lanzamento,palillo 1
-8.954427,42.536432,"781",2019/07/18 08:05:03,"70",primer lanzamento,palillo 2
-8.952757,42.53899,"769",2019/07/18 07:50:00,"70",primer lanzamento,palillo 2
-8.951845,42.540454,"761",2019/07/18 07:41:19,"70",primer lanzamento,palillo 2
-8.950431,42.542482,"750",2019/07/18 07:30:25,"70",primer lanzamento,palillo 2
-8.948856,42.544652,"741",2019/07/18 07:20:07,"70",primer lanzamento,palillo 2
-8.947656,42.546843,"732",2019/07/18 07:11:02,"70",primer lanzamento,palillo 2
-8.945808,42.548984,"723",2019/07/18 07:01:06,"70",primer lanzamento,palillo 2
-8.953554,42.537201,"776",2019/07/18 08:00:16,"71",primer lanzamento,palillo 3
-8.953008,42.53807,"775",2019/07/18 07:55:12,"71",primer lanzamento,palillo 3
-8.951845,42.540454,"762",2019/07/18 07:41:19,"71",primer lanzamento,palillo 3
-8.950431,42.542482,"751",2019/07/18 07:30:25,"71",primer lanzamento,palillo 3
-8.948856,42.544652,"742",2019/07/18 07:20:07,"71",primer lanzamento,palillo 3
-8.947656,42.546843,"733",2019/07/18 07:11:02,"71",primer lanzamento,palillo 3
-8.945808,42.548984,"724",2019/07/18 07:01:06,"71",primer lanzamento,palillo 3
-8.954683,42.536325,"782",2019/07/18 08:05:40,"72",primer lanzamento,palillo 4
-8.952757,42.53899,"768",2019/07/18 07:50:00,"72",primer lanzamento,palillo 4
-8.951845,42.540454,"763",2019/07/18 07:41:19,"72",primer lanzamento,palillo 4
-8.950431,42.542482,"752",2019/07/18 07:30:25,"72",primer lanzamento,palillo 4
-8.948856,42.544652,"743",2019/07/18 07:20:07,"72",primer lanzamento,palillo 4
-8.947656,42.546843,"734",2019/07/18 07:11:02,"72",primer lanzamento,palillo 4
-8.945808,42.548984,"725",2019/07/18 07:01:06,"72",primer lanzamento,palillo 4
-8.954683,42.536325,"783",2019/07/18 08:05:40,"73",primer lanzamento,palillo 5
-8.952757,42.53899,"770",2019/07/18 07:50:00,"73",primer lanzamento,palillo 5
-8.951845,42.540454,"764",2019/07/18 07:41:19,"73",primer lanzamento,palillo 5
-8.950431,42.542482,"753",2019/07/18 07:30:25,"73",primer lanzamento,palillo 5
-8.948856,42.544652,"744",2019/07/18 07:20:07,"73",primer lanzamento,palillo 5
-8.947656,42.546843,"735",2019/07/18 07:11:02,"73",primer lanzamento,palillo 5
-8.945808,42.548984,"726",2019/07/18 07:01:06,"73",primer lanzamento,palillo 5
-8.954216,42.536555,"780",2019/07/18 08:04:29,"74",primer lanzamento,palillo 6
-8.953008,42.53807,"774",2019/07/18 07:55:12,"74",primer lanzamento,palillo 6
-8.951845,42.540454,"765",2019/07/18 07:41:19,"74",primer lanzamento,palillo 6
-8.950431,42.542482,"754",2019/07/18 07:30:25,"74",primer lanzamento,palillo 6
-8.948856,42.544652,"745",2019/07/18 07:20:07,"74",primer lanzamento,palillo 6
-8.947656,42.546843,"736",2019/07/18 07:11:02,"74",primer lanzamento,palillo 6
-8.945808,42.548984,"727",2019/07/18 07:01:06,"74",primer lanzamento,palillo 6
-8.954276,42.536719,"778",2019/07/18 08:02:37,"75",primer lanzamento,palillo 7
-8.952941,42.538674,"771",2019/07/18 07:51:10,"75",primer lanzamento,palillo 7
-8.951845,42.540454,"759",2019/07/18 07:41:19,"75",primer lanzamento,palillo 7
-8.950431,42.542482,"755",2019/07/18 07:30:25,"75",primer lanzamento,palillo 7
-8.948856,42.544652,"746",2019/07/18 07:20:07,"75",primer lanzamento,palillo 7
-8.947656,42.546843,"737",2019/07/18 07:11:02,"75",primer lanzamento,palillo 7
-8.945808,42.548984,"728",2019/07/18 07:01:06,"75",primer lanzamento,palillo 7
-8.953982,42.536773,"777",2019/07/18 08:02:01,"76",primer lanzamento,palillo 8
-8.95277,42.538463,"772",2019/07/18 07:52:11,"76",primer lanzamento,palillo 8
-8.951554,42.540517,"758",2019/07/18 07:40:36,"76",primer lanzamento,palillo 8
-8.950431,42.542482,"756",2019/07/18 07:30:25,"76",primer lanzamento,palillo 8
-8.948856,42.544652,"747",2019/07/18 07:20:07,"76",primer lanzamento,palillo 8
-8.947656,42.546843,"738",2019/07/18 07:11:02,"76",primer lanzamento,palillo 8
-8.945808,42.548984,"729",2019/07/18 07:01:06,"76",primer lanzamento,palillo 8
-8.954683,42.536325,"784",2019/07/18 08:05:40,"77",primer lanzamento,palillo 9
-8.952757,42.53899,"767",2019/07/18 07:50:00,"77",primer lanzamento,palillo 9
-8.951845,42.540454,"766",2019/07/18 07:41:19,"77",primer lanzamento,palillo 9
-8.950431,42.542482,"757",2019/07/18 07:30:25,"77",primer lanzamento,palillo 9
-8.948856,42.544652,"748",2019/07/18 07:20:07,"77",primer lanzamento,palillo 9
-8.947656,42.546843,"739",2019/07/18 07:11:02,"77",primer lanzamento,palillo 9
-8.945808,42.548984,"730",2019/07/18 07:01:06,"77",primer lanzamento,palillo 9
