X,Y,uid,date,idtrack,release_name,drifter_name
-8.954216,42.536555,"779",2019/07/18 08:04:29,"69",primer lanzamento,palillo 1
-8.952833,42.538481,"773",2019/07/18 07:52:25,"69",primer lanzamento,palillo 1
-8.951845,42.540454,"760",2019/07/18 07:41:19,"69",primer lanzamento,palillo 1
-8.950431,42.542482,"749",2019/07/18 07:30:25,"69",primer lanzamento,palillo 1
-8.948856,42.544652,"740",2019/07/18 07:20:07,"69",primer lanzamento,palillo 1
-8.947656,42.546843,"731",2019/07/18 07:11:02,"69",primer lanzamento,palillo 1
-8.945808,42.548984,"722",2019/07/18 07:01:06,"69",primer lanzamento,palillo 1
-8.948333,42.546492,"844",2019/07/18 08:39:25,"78",segundo lanzamento,palillo 1
-8.952496,42.540119,"832",2019/07/18 09:42:29,"78",segundo lanzamento,palillo 1
-8.952212,42.540886,"823",2019/07/18 09:31:38,"78",segundo lanzamento,palillo 1
-8.951941,42.541633,"813",2019/07/18 09:21:19,"78",segundo lanzamento,palillo 1
-8.951463,42.542632,"804",2019/07/18 09:10:35,"78",segundo lanzamento,palillo 1
-8.950761,42.543836,"794",2019/07/18 09:00:06,"78",segundo lanzamento,palillo 1
-8.949842,42.544973,"785",2019/07/18 08:50:32,"78",segundo lanzamento,palillo 1
