X,Y,uid,date,temperature,valflag,idtrack,release_name,drifter_name
-8.9533216667,42.5404166667,"665",2019/07/18 09:36:29,17.19,"0","63",segundo lanzamento,boya 1
-8.9528183333,42.541385,"663",2019/07/18 09:25:19,17.11,"0","63",segundo lanzamento,boya 1
-8.952175,42.5423916667,"661",2019/07/18 09:14:49,17.19,"0","63",segundo lanzamento,boya 1
-8.9513183333,42.5435016667,"659",2019/07/18 09:03:28,17.19,"0","63",segundo lanzamento,boya 1
-8.9502866667,42.5446966667,"657",2019/07/18 08:52:52,17.37,"0","63",segundo lanzamento,boya 1
-8.9488383333,42.54621,"655",2019/07/18 08:41:25,18.31,"0","63",segundo lanzamento,boya 1
-8.9501433333,42.5412533333,"667",2019/07/18 09:48:22,17.62,"0","64",segundo lanzamento,MD 8 small drogue 1m
-8.950515,42.54198,"666",2019/07/18 09:37:08,17.62,"0","64",segundo lanzamento,MD 8 small drogue 1m
-8.9507483333,42.542445,"664",2019/07/18 09:26:36,17.62,"0","64",segundo lanzamento,MD 8 small drogue 1m
-8.95056,42.5430833333,"662",2019/07/18 09:15:19,17.62,"0","64",segundo lanzamento,MD 8 small drogue 1m
-8.950305,42.5439433333,"660",2019/07/18 09:04:11,17.62,"0","64",segundo lanzamento,MD 8 small drogue 1m
-8.94984,42.5448633333,"658",2019/07/18 08:53:37,17.8,"0","64",segundo lanzamento,MD 8 small drogue 1m
-8.9489416667,42.5460866667,"656",2019/07/18 08:42:19,18.4,"0","64",segundo lanzamento,MD 8 small drogue 1m
-8.95262499999998,42.5416,"721",2019/07/18 09:20:00,17,"0","65",segundo lanzamento,odi 109
-8.95262499999998,42.5422,"720",2019/07/18 09:11:00,17,"0","65",segundo lanzamento,odi 109
-8.951425,42.543,"719",2019/07/18 09:05:00,17,"0","65",segundo lanzamento,odi 109
-8.95082499999998,42.5438,"718",2019/07/18 08:57:00,17,"0","65",segundo lanzamento,odi 109
-8.95022499999999,42.5446,"717",2019/07/18 08:52:00,17,"0","65",segundo lanzamento,odi 109
-8.94902500000001,42.5458,"716",2019/07/18 08:44:00,18,"0","65",segundo lanzamento,odi 109
-8.95382499999999,42.5402,"705",2019/07/18 09:36:00,17,"0","66",segundo lanzamento,odi 111
-8.95342499999998,42.5406,"704",2019/07/18 09:31:00,17,"0","66",segundo lanzamento,odi 111
-8.95282499999999,42.541,"703",2019/07/18 09:25:00,17,"0","66",segundo lanzamento,odi 111
-8.95282499999999,42.5416,"702",2019/07/18 09:20:00,17,"0","66",segundo lanzamento,odi 111
-8.952225,42.542,"701",2019/07/18 09:15:00,17,"0","66",segundo lanzamento,odi 111
-8.95202499999999,42.5426,"700",2019/07/18 09:10:00,17,"0","66",segundo lanzamento,odi 111
